"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"15/05/23 22:01:01.389";278;103;26;27;36
"15/05/23 22:01:05.514";275;129;198;272;36
"15/05/23 22:01:09.982";284;98;137;292;451
"15/05/23 22:01:11.748";299;99;134;268;510
"15/05/23 22:01:16.510";307;104;137;285;505
"15/05/23 22:01:20.799";313;123;157;295;520
"15/05/23 22:01:23.763";295;109;166;304;535
"15/05/23 22:01:25.945";27;143;183;310;552
"15/05/23 22:01:28.484";42;10;178;330;568
"15/05/23 22:01:31.817";45;12;0;0;581
"15/05/23 22:01:35.743";48;25;25;31;81
"15/05/23 22:01:41.312";46;6;13;30;37
"15/05/23 22:01:44.702";45;12;9;14;33
"15/05/23 22:01:48.772";45;8;21;28;35
"15/05/23 22:01:49.855";45;24;27;29;36
"15/05/23 22:01:56.568";45;7;10;26;33
"15/05/23 22:01:58.155";42;10;25;8;34
"15/05/23 22:02:00.525";25;23;7;8;34
"15/05/23 22:02:06.377";257;5;23;26;34
"15/05/23 22:02:08.153";237;95;26;26;33
"15/05/23 22:02:11.885";251;119;207;11;33
"15/05/23 22:02:17.667";240;110;131;279;260
"15/05/23 22:02:21.029";250;89;151;271;487
"15/05/23 22:02:23.519";276;108;134;262;505
"15/05/23 22:02:29.120";287;111;152;263;501
"15/05/23 22:02:31.941";264;93;161;263;513
"15/05/23 22:02:35.218";30;93;165;290;525
"15/05/23 22:02:39.586";21;9;178;295;538
"15/05/23 22:02:41.321";22;6;0;281;561
"15/05/23 22:02:46.842";18;9;24;1;168
"15/05/23 22:02:49.111";48;10;7;13;42
"15/05/23 22:02:53.255";47;28;9;10;34
"15/05/23 22:02:56.137";41;7;26;10;34
"15/05/23 22:02:58.435";44;13;31;8;37
"15/05/23 22:03:02.015";54;7;10;8;36
"15/05/23 22:03:08.084";255;12;5;13;33
"15/05/23 22:03:11.944";269;11;26;15;35
"15/05/23 22:03:13.693";257;116;190;30;33
"15/05/23 22:03:19.293";246;99;132;277;181
"15/05/23 22:03:20.331";258;102;149;292;487
"15/05/23 22:03:26.734";286;100;150;266;511
"15/05/23 22:03:30.399";299;96;154;267;506
"15/05/23 22:03:31.629";310;115;161;271;515
"15/05/23 22:03:37.548";29;102;166;292;530
"15/05/23 22:03:41.022";21;56;178;279;547
"15/05/23 22:03:43.061";41;8;0;313;563
"15/05/23 22:03:45.686";47;25;21;0;351
"15/05/23 22:03:48.634";48;21;9;24;50
"15/05/23 22:03:54.049";49;26;5;10;35
"15/05/23 22:03:56.984";23;22;15;11;36
"15/05/23 22:03:59.483";43;25;24;11;33
"15/05/23 22:04:03.839";47;12;11;9;36
"15/05/23 22:04:09.586";323;7;9;31;34
"15/05/23 22:04:10.734";248;9;12;6;33
"15/05/23 22:04:13.988";292;128;117;29;37
"15/05/23 22:04:18.974";281;102;202;280;56
"15/05/23 22:04:22.297";255;101;160;272;491
"15/05/23 22:04:27.231";289;115;140;270;517
"15/05/23 22:04:30.333";299;100;155;269;512
"15/05/23 22:04:34.295";309;116;161;288;523
"15/05/23 22:04:38.717";32;117;167;303;534
"15/05/23 22:04:42.300";19;122;180;286;548
"15/05/23 22:04:45.532";19;10;8;318;565
"15/05/23 22:04:46.605";41;11;21;0;467
"15/05/23 22:04:52.241";22;6;8;25;56
"15/05/23 22:04:56.080";46;6;9;28;35
"15/05/23 22:04:59.727";22;8;11;11;34
"15/05/23 22:05:03.265";47;7;27;15;34
"15/05/23 22:05:04.584";41;11;24;30;36
"15/05/23 22:05:10.554";45;12;8;31;34
"15/05/23 22:05:14.609";262;9;23;8;36
"15/05/23 22:05:17.597";273;101;23;30;33
"15/05/23 22:05:18.653";277;119;206;32;36
"15/05/23 22:05:24.678";275;119;133;293;329
"15/05/23 22:05:27.424";284;101;137;276;495
"15/05/23 22:05:29.684";268;112;152;269;508
"15/05/23 22:05:33.565";284;118;158;288;509
"15/05/23 22:05:37.556";316;120;164;297;523
"15/05/23 22:05:41.890";29;102;170;304;542
"15/05/23 22:05:44.232";22;11;179;321;551
"15/05/23 22:05:47.533";46;22;0;27;567
"15/05/23 22:05:54.357";42;27;31;24;117
"15/05/23 22:05:56.433";46;10;27;26;38
"15/05/23 22:05:59.160";44;22;7;27;37
"15/05/23 22:06:02.105";19;6;10;28;35
"15/05/23 22:06:05.407";54;20;6;12;34
"15/05/23 22:06:09.073";48;20;13;8;37
"15/05/23 22:06:14.134";20;10;15;28;35
"15/05/23 22:06:17.465";24;23;25;28;35
"15/05/23 22:06:19.913";47;24;10;14;35
"15/05/23 22:06:26.105";269;23;7;12;33
"15/05/23 22:06:29.145";286;102;25;9;36
"15/05/23 22:06:30.731";279;119;208;215;35
"15/05/23 22:06:37.327";281;102;137;295;407
"15/05/23 22:06:38.246";249;101;134;289;509
"15/05/23 22:06:43.621";285;97;151;268;505
"15/05/23 22:06:47.771";299;112;156;270;511
"15/05/23 22:06:51.884";309;112;161;267;519
"15/05/23 22:06:54.322";27;95;152;292;533
"15/05/23 22:06:58.546";46;11;180;303;547
"15/05/23 22:07:01.578";47;11;0;6;567
"15/05/23 22:07:06.168";16;12;24;24;98
"15/05/23 22:07:09.557";24;12;31;13;38
"15/05/23 22:07:10.265";47;23;22;15;34
"15/05/23 22:07:16.056";24;22;25;31;35
"15/05/23 22:07:19.784";43;23;22;14;36
"15/05/23 22:07:24.276";22;24;22;11;36
"15/05/23 22:07:27.922";22;25;7;27;35
"15/05/23 22:07:31.180";266;26;27;12;34
"15/05/23 22:07:34.204";284;105;14;29;37
"15/05/23 22:07:37.545";284;122;210;14;36
"15/05/23 22:07:39.134";272;114;178;302;379
"15/05/23 22:07:43.685";257;99;154;273;509
"15/05/23 22:07:46.251";264;112;139;270;518
"15/05/23 22:07:52.273";301;99;159;285;516
"15/05/23 22:07:55.762";281;119;167;292;528
"15/05/23 22:07:59.504";29;95;171;301;545
"15/05/23 22:08:00.768";45;7;182;312;558
"15/05/23 22:08:05.429";287;23;0;273;578
"15/05/23 22:08:09.994";289;98;22;2;139
"15/05/23 22:08:12.405";252;126;209;96;40
"15/05/23 22:08:15.226";262;119;179;301;383
"15/05/23 22:08:21.889";288;102;141;273;511
"15/05/23 22:08:23.195";302;106;139;285;516
"15/05/23 22:08:29.101";310;122;159;290;520
"15/05/23 22:08:30.538";290;106;155;296;533
"15/05/23 22:08:35.493";28;99;171;284;548
"15/05/23 22:08:38.257";45;10;181;320;561
"15/05/23 22:08:42.362";44;22;0;1;572
"15/05/23 22:08:44.829";41;8;25;28;87
"15/05/23 22:08:50.359";281;9;11;27;38
"15/05/23 22:08:52.573";295;105;11;29;33
"15/05/23 22:08:56.207";267;122;210;273;36
"15/05/23 22:08:58.707";288;99;136;301;464
"15/05/23 22:09:05.154";290;114;139;275;524
"15/05/23 22:09:07.736";304;104;157;271;520
"15/05/23 22:09:11.435";317;103;161;277;527
"15/05/23 22:09:15.908";326;107;171;298;541
"15/05/23 22:09:17.198";24;100;179;305;556
"15/05/23 22:09:21.349";48;9;162;322;575
"15/05/23 22:09:24.910";270;13;0;0;588
"15/05/23 22:09:29.772";287;103;24;31;89
"15/05/23 22:09:31.395";285;123;205;9;37
"15/05/23 22:09:36.282";253;118;178;295;367
"15/05/23 22:09:39.603";297;114;145;274;511
"15/05/23 22:09:43.186";279;117;144;287;522
"15/05/23 22:09:47.083";311;121;160;275;525
"15/05/23 22:09:50.884";291;112;155;298;536
"15/05/23 22:09:55.396";24;101;158;306;551
"15/05/23 22:09:57.871";18;10;180;321;568
"15/05/23 22:10:02.202";23;11;0;5;577
"15/05/23 22:10:05.447";261;11;29;29;101
"15/05/23 22:10:09.666";284;101;27;25;39
"15/05/23 22:10:11.529";285;117;211;190;35
"15/05/23 22:10:14.575";255;112;174;294;405
"15/05/23 22:10:17.723";254;112;143;286;513
"15/05/23 22:10:22.617";293;103;156;281;522
"15/05/23 22:10:26.632";302;116;163;285;517
"15/05/23 22:10:30.713";271;104;165;283;528
"15/05/23 22:10:34.557";28;96;170;296;543
"15/05/23 22:10:38.704";44;9;182;298;556
"15/05/23 22:10:39.875";45;19;0;149;573
"15/05/23 22:10:45.978";244;23;28;0;128
"15/05/23 22:10:47.796";263;11;11;10;40
"15/05/23 22:10:50.511";277;105;12;24;34
"15/05/23 22:10:55.719";246;118;210;273;36
"15/05/23 22:10:57.392";283;98;136;290;474
"15/05/23 22:11:03.298";284;111;149;259;511
"15/05/23 22:11:07.578";291;99;140;274;509
"15/05/23 22:11:10.686";306;98;159;279;516
"15/05/23 22:11:12.430";267;116;165;282;529
"15/05/23 22:11:16.440";24;93;180;274;544
"15/05/23 22:11:20.286";24;11;160;303;561
