"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"16/05/23 08:29:36.599";25;8;8;8;35
"16/05/23 08:29:37.835";25;7;25;26;36
"16/05/23 08:29:41.614";25;5;15;30;33
"16/05/23 08:29:47.099";22;11;20;29;33
"16/05/23 08:29:48.146";42;11;25;10;35
"16/05/23 08:29:52.604";41;21;9;25;36
"16/05/23 08:29:57.084";38;8;9;23;36
"16/05/23 08:30:00.063";41;7;10;24;35
"16/05/23 08:30:04.176";41;13;13;10;33
"16/05/23 08:30:06.363";38;27;9;25;35
"16/05/23 08:30:12.380";41;22;9;24;33
"16/05/23 08:30:14.930";18;6;20;9;35
"16/05/23 08:30:18.146";42;21;25;16;34
"16/05/23 08:30:22.733";44;8;9;9;33
"16/05/23 08:30:25.679";22;20;24;30;35
"16/05/23 08:30:29.822";24;8;26;15;36
"16/05/23 08:30:33.346";20;11;12;27;34
"16/05/23 08:30:37.100";25;9;27;9;34
"16/05/23 08:30:40.609";39;6;8;8;34
"16/05/23 08:30:44.706";26;23;26;9;35
"16/05/23 08:30:47.830";40;22;25;23;34
"16/05/23 08:30:50.385";39;24;12;32;33
"16/05/23 08:30:54.342";23;9;14;31;35
"16/05/23 08:30:56.282";41;24;26;26;34
"16/05/23 08:31:01.464";25;22;26;6;35
"16/05/23 08:31:05.358";40;19;11;13;33
"16/05/23 08:31:07.321";39;7;9;13;33
"16/05/23 08:31:11.463";44;23;26;26;33
"16/05/23 08:31:16.765";22;23;7;26;35
"16/05/23 08:31:17.893";41;11;21;30;33
"16/05/23 08:31:21.457";21;8;25;25;36
"16/05/23 08:31:25.305";26;9;11;27;33
"16/05/23 08:31:28.620";42;20;7;10;34
"16/05/23 08:31:34.659";38;20;12;32;36
"16/05/23 08:31:38.711";40;6;9;27;36
"16/05/23 08:31:39.453";24;6;14;8;35
"16/05/23 08:31:45.065";25;11;7;8;36
"16/05/23 08:31:49.548";21;6;27;11;36
"16/05/23 08:31:50.698";40;25;27;8;36
"16/05/23 08:31:55.686";41;9;24;29;33
"16/05/23 08:31:58.815";39;24;9;24;33
"16/05/23 08:32:02.058";20;23;9;11;35
"16/05/23 08:32:05.056";23;9;14;25;36
"16/05/23 08:32:09.862";41;7;25;12;34
"16/05/23 08:32:13.535";25;6;27;11;36
"16/05/23 08:32:17.802";42;6;10;16;34
"16/05/23 08:32:19.118";21;24;10;29;33
"16/05/23 08:32:22.764";26;7;30;26;33
"16/05/23 08:32:27.167";43;8;24;12;34
"16/05/23 08:32:31.634";40;9;25;16;33
"16/05/23 08:32:36.213";44;7;26;31;36
"16/05/23 08:32:39.275";46;8;10;8;36
"16/05/23 08:32:40.579";42;13;9;14;36
"16/05/23 08:32:46.738";25;8;21;16;33
"16/05/23 08:32:50.955";17;24;10;13;34
"16/05/23 08:32:53.939";20;10;9;26;35
"16/05/23 08:32:57.858";50;24;23;14;34
"16/05/23 08:33:01.887";41;25;20;27;34
"16/05/23 08:33:04.445";24;23;9;11;33
"16/05/23 08:33:06.283";23;24;7;13;33
"16/05/23 08:33:09.623";45;9;27;28;33
"16/05/23 08:33:14.127";21;3;9;24;35
"16/05/23 08:33:18.961";21;23;22;11;35
