"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"16/05/23 05:00:07.209";38;8;15;10;35
"16/05/23 05:00:09.755";27;24;26;7;35
"16/05/23 05:00:11.702";26;22;4;24;35
"16/05/23 05:00:16.942";24;11;21;11;36
"16/05/23 05:00:19.562";40;11;11;14;33
"16/05/23 05:00:23.927";28;25;15;24;33
"16/05/23 05:00:26.919";26;8;10;28;35
"16/05/23 05:00:31.534";22;9;7;12;35
"16/05/23 05:00:34.018";41;7;12;31;33
"16/05/23 05:00:39.366";41;22;5;12;33
"16/05/23 05:00:40.685";40;25;23;24;33
"16/05/23 05:00:45.605";40;6;20;7;36
"16/05/23 05:00:50.972";27;26;24;8;35
"16/05/23 05:00:54.504";39;23;24;8;33
"16/05/23 05:00:56.401";39;9;25;9;32
"16/05/23 05:01:00.375";28;9;21;26;33
"16/05/23 05:01:04.677";253;8;11;24;34
"16/05/23 05:01:08.627";276;84;21;26;35
"16/05/23 05:01:10.768";249;94;209;13;33
"16/05/23 05:01:15.249";247;75;151;280;267
"16/05/23 05:01:18.690";269;74;146;253;485
"16/05/23 05:01:20.298";252;72;163;267;496
"16/05/23 05:01:25.759";270;70;166;254;498
"16/05/23 05:01:28.238";266;74;170;260;507
"16/05/23 05:01:33.828";25;68;161;259;510
"16/05/23 05:01:37.046";25;13;153;270;518
"16/05/23 05:01:38.775";25;19;0;253;528
"16/05/23 05:01:43.925";26;21;23;5;243
"16/05/23 05:01:46.386";23;22;12;28;44
"16/05/23 05:01:49.003";39;11;7;26;33
"16/05/23 05:01:54.945";39;7;24;11;33
"16/05/23 05:01:57.352";23;8;9;24;33
"16/05/23 05:01:59.821";39;12;9;27;33
"16/05/23 05:02:03.150";41;21;28;9;35
"16/05/23 05:02:09.652";21;20;22;26;34
