"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"15/05/23 21:01:09.539";304;109;174;235;509
"15/05/23 21:01:14.326";33;103;176;243;522
"15/05/23 21:01:17.331";41;18;184;227;532
"15/05/23 21:01:18.234";40;21;0;252;546
"15/05/23 21:01:23.885";42;25;26;3;252
"15/05/23 21:01:27.443";26;8;15;32;47
"15/05/23 21:01:29.421";45;27;25;8;35
"15/05/23 21:01:33.074";44;27;26;30;38
"15/05/23 21:01:39.107";44;8;30;8;35
"15/05/23 21:01:42.702";27;26;23;24;38
"15/05/23 21:01:45.976";45;11;9;8;36
"15/05/23 21:01:47.505";27;22;15;28;38
"15/05/23 21:01:53.475";43;22;9;8;35
"15/05/23 21:01:54.720";24;23;8;11;35
"15/05/23 21:01:58.614";43;27;29;13;36
"15/05/23 21:02:01.771";25;27;27;24;38
"15/05/23 21:02:06.463";26;8;9;28;36
"15/05/23 21:02:08.853";41;22;8;8;35
"15/05/23 21:02:14.529";26;9;7;12;35
"15/05/23 21:02:16.012";30;25;26;13;35
"15/05/23 21:02:19.476";41;26;10;28;38
"15/05/23 21:02:26.217";263;13;22;24;37
"15/05/23 21:02:29.965";290;9;26;26;38
"15/05/23 21:02:30.577";308;114;112;14;37
"15/05/23 21:02:36.048";270;123;217;286;35
"15/05/23 21:02:39.464";293;115;168;227;488
"15/05/23 21:02:44.002";305;102;165;225;519
"15/05/23 21:02:46.969";313;116;174;242;511
"15/05/23 21:02:51.014";324;120;165;230;526
"15/05/23 21:02:55.194";37;120;171;253;542
"15/05/23 21:02:58.076";20;139;188;255;557
"15/05/23 21:03:01.961";40;12;10;274;568
"15/05/23 21:03:04.338";269;12;20;7;434
"15/05/23 21:03:09.567";297;100;10;29;56
"15/05/23 21:03:10.666";294;123;212;12;35
"15/05/23 21:03:16.447";292;124;148;280;329
"15/05/23 21:03:19.950";302;106;146;236;501
"15/05/23 21:03:20.581";289;112;146;227;513
"15/05/23 21:03:24.192";312;110;155;246;512
"15/05/23 21:03:28.337";288;117;159;255;525
"15/05/23 21:03:33.922";28;109;181;257;540
"15/05/23 21:03:35.593";25;10;182;237;547
"15/05/23 21:03:41.725";49;10;0;264;554
"15/05/23 21:03:42.594";23;8;22;0;153
"15/05/23 21:03:46.204";48;9;8;13;42
"15/05/23 21:03:49.922";41;23;25;27;36
"15/05/23 21:03:53.828";41;26;23;11;35
"15/05/23 21:03:59.889";261;21;14;7;34
"15/05/23 21:04:02.811";283;22;25;15;37
"15/05/23 21:04:04.852";308;106;23;12;35
"15/05/23 21:04:07.881";292;125;211;274;38
"15/05/23 21:04:11.789";259;117;151;226;473
