"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"15/05/23 17:01:43.562";29;24;15;11;85
"15/05/23 17:01:46.136";41;26;11;27;36
"15/05/23 17:01:47.793";42;23;26;8;34
"15/05/23 17:01:52.211";26;23;26;9;36
"15/05/23 17:01:56.961";39;24;11;9;36
"15/05/23 17:02:01.262";42;25;16;24;33
"15/05/23 17:02:03.020";27;20;23;29;36
"15/05/23 17:02:06.612";41;12;21;23;33
"15/05/23 17:02:10.076";40;23;26;10;37
"15/05/23 17:02:13.300";26;21;11;11;33
"15/05/23 17:02:17.122";27;12;25;27;33
"15/05/23 17:02:20.015";25;7;13;12;33
"15/05/23 17:02:23.696";30;24;27;11;36
"15/05/23 17:02:28.420";41;22;27;28;34
"15/05/23 17:02:30.920";22;26;23;14;35
"15/05/23 17:02:36.270";25;21;6;11;34
"15/05/23 17:02:38.859";46;15;8;12;33
"15/05/23 17:02:42.054";24;12;7;9;37
"15/05/23 17:02:46.366";41;9;11;7;33
"15/05/23 17:02:48.963";27;9;9;28;36
"15/05/23 17:02:53.070";18;22;10;24;36
"15/05/23 17:02:58.099";26;22;11;8;33
"15/05/23 17:03:02.287";46;13;8;12;35
"15/05/23 17:03:04.499";21;25;11;10;33
"15/05/23 17:03:06.796";26;21;21;11;33
"15/05/23 17:03:11.569";43;10;27;12;34
"15/05/23 17:03:15.470";24;9;27;8;33
"15/05/23 17:03:20.451";22;24;10;25;36
"15/05/23 17:03:24.556";24;7;9;9;36
"15/05/23 17:03:25.783";41;12;13;12;36
"15/05/23 17:03:30.526";41;14;24;15;34
"15/05/23 17:03:34.312";41;8;8;8;34
"15/05/23 17:03:38.967";24;12;22;27;33
"15/05/23 17:03:41.801";27;24;10;27;36
"15/05/23 17:03:44.492";41;11;11;25;33
"15/05/23 17:03:47.376";39;8;9;27;35
"15/05/23 17:03:51.432";41;10;24;22;33
"15/05/23 17:03:54.522";28;14;12;30;36
"15/05/23 17:03:58.123";27;10;21;25;34
"15/05/23 17:04:01.675";27;13;23;10;38
"15/05/23 17:04:06.784";21;28;13;29;36
"15/05/23 17:04:10.630";24;11;25;11;32
"15/05/23 17:04:12.654";23;9;14;29;34
"15/05/23 17:04:16.160";26;11;8;25;33
"15/05/23 17:04:19.354";27;25;28;23;36
"15/05/23 17:04:25.206";250;25;26;24;36
"15/05/23 17:04:29.231";282;90;16;10;33
"15/05/23 17:04:30.307";253;121;206;12;37
"15/05/23 17:04:33.995";279;102;139;272;215
"15/05/23 17:04:38.445";271;113;156;256;442
"15/05/23 17:04:43.693";286;117;153;227;458
"15/05/23 17:04:45.399";296;118;162;231;461
"15/05/23 17:04:49.896";309;110;168;248;469
"15/05/23 17:04:54.161";30;101;164;255;479
"15/05/23 17:04:55.408";27;39;180;264;497
"15/05/23 17:05:01.565";21;9;0;275;509
"15/05/23 17:05:02.991";21;12;21;1;285
"15/05/23 17:05:06.484";41;11;15;26;46
"15/05/23 17:05:09.437";277;14;8;25;35
"15/05/23 17:05:14.177";291;107;23;27;37
"15/05/23 17:05:19.370";253;121;207;268;37
"15/05/23 17:05:20.940";271;105;145;222;415
"15/05/23 17:05:25.845";274;114;163;254;471
"15/05/23 17:05:28.396";264;104;167;245;467
"15/05/23 17:05:31.318";274;116;175;228;473
"15/05/23 17:05:37.752";319;105;181;250;484
"15/05/23 17:05:40.405";28;99;182;260;501
"15/05/23 17:05:42.207";42;8;196;270;513
"15/05/23 17:05:48.573";235;15;0;0;506
"15/05/23 17:05:52.021";262;26;29;4;78
"15/05/23 17:05:53.125";277;102;13;28;35
"15/05/23 17:05:56.473";257;119;201;264;34
"15/05/23 17:06:00.692";276;101;137;216;418
"15/05/23 17:06:04.391";259;117;155;228;455
"15/05/23 17:06:09.160";280;107;156;229;459
"15/05/23 17:06:12.781";294;121;161;249;467
"15/05/23 17:06:16.666";311;118;168;251;474
"15/05/23 17:06:20.335";28;99;176;237;484
"15/05/23 17:06:23.193";19;10;165;265;496
"15/05/23 17:06:27.073";27;21;0;0;487
"15/05/23 17:06:29.821";24;9;24;32;71
"15/05/23 17:06:32.025";41;10;6;8;35
"15/05/23 17:06:36.236";28;25;23;13;34
"15/05/23 17:06:40.860";27;10;7;26;33
"15/05/23 17:06:43.544";27;22;26;12;35
"15/05/23 17:06:49.175";262;14;25;14;36
"15/05/23 17:06:53.127";262;12;14;29;34
"15/05/23 17:06:53.638";268;118;135;9;34
"15/05/23 17:06:59.424";242;99;199;262;116
"15/05/23 17:07:02.581";269;101;151;215;427
"15/05/23 17:07:07.254";269;111;139;223;451
"15/05/23 17:07:08.875";252;99;145;238;453
"15/05/23 17:07:13.637";290;112;164;240;459
