"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"16/05/23 06:29:57.725";19;24;23;23;35
"16/05/23 06:30:00.457";44;21;13;8;35
"16/05/23 06:30:04.499";27;10;23;26;36
"16/05/23 06:30:08.815";47;27;9;8;34
"16/05/23 06:30:11.183";42;8;11;7;35
"16/05/23 06:30:14.259";21;23;25;9;35
"16/05/23 06:30:18.123";28;24;5;28;32
"16/05/23 06:30:21.759";21;11;6;27;35
"16/05/23 06:30:25.143";27;20;26;23;33
"16/05/23 06:30:28.963";26;23;8;30;36
"16/05/23 06:30:33.713";42;11;29;11;35
"16/05/23 06:30:37.817";26;25;6;9;35
"16/05/23 06:30:38.735";38;19;6;23;35
"16/05/23 06:30:42.799";40;23;26;4;33
"16/05/23 06:30:48.462";24;28;13;4;34
"16/05/23 06:30:51.548";23;11;7;27;36
"16/05/23 06:30:56.212";39;12;20;12;35
"16/05/23 06:30:56.731";27;19;28;13;33
"16/05/23 06:31:01.639";21;22;7;14;33
"16/05/23 06:31:06.053";47;9;9;24;34
"16/05/23 06:31:07.761";20;10;25;11;35
"16/05/23 06:31:14.395";44;11;20;25;35
"16/05/23 06:31:17.890";44;22;10;12;33
"16/05/23 06:31:19.259";45;5;7;6;33
"16/05/23 06:31:24.948";43;10;28;26;35
"16/05/23 06:31:28.189";23;21;9;27;33
"16/05/23 06:31:32.350";45;11;26;22;35
"16/05/23 06:31:35.535";26;7;4;28;32
"16/05/23 06:31:36.238";43;11;4;25;31
"16/05/23 06:31:41.525";43;20;8;24;33
"16/05/23 06:31:43.447";20;26;28;9;35
"16/05/23 06:31:48.397";41;12;8;8;35
"16/05/23 06:31:51.992";41;10;27;32;35
"16/05/23 06:31:54.392";26;21;11;8;33
"16/05/23 06:31:58.280";27;6;8;7;35
"16/05/23 06:32:02.121";45;8;7;30;33
"16/05/23 06:32:07.823";23;22;26;25;36
"16/05/23 06:32:09.963";26;13;21;29;35
"16/05/23 06:32:14.771";45;13;26;11;33
"16/05/23 06:32:17.784";40;11;27;8;35
"16/05/23 06:32:22.463";22;23;9;24;35
"16/05/23 06:32:24.187";41;8;24;24;33
"16/05/23 06:32:26.551";23;23;14;25;33
"16/05/23 06:32:32.998";38;25;10;8;36
"16/05/23 06:32:35.109";21;14;11;10;34
"16/05/23 06:32:38.464";40;8;12;27;33
"16/05/23 06:32:42.347";39;4;11;8;35
"16/05/23 06:32:44.605";43;9;7;30;35
"16/05/23 06:32:48.757";41;10;8;12;33
"16/05/23 06:32:51.694";26;23;10;29;35
"16/05/23 06:32:56.748";28;8;6;7;34
"16/05/23 06:32:59.277";23;23;9;24;35
"16/05/23 06:33:03.663";42;20;26;9;32
"16/05/23 06:33:07.024";27;11;21;10;36
"16/05/23 06:33:11.849";24;21;22;13;36
"16/05/23 06:33:15.918";41;10;13;14;36
"16/05/23 06:33:17.970";43;12;9;31;33
"16/05/23 06:33:23.387";47;9;12;11;33
"16/05/23 06:33:25.734";45;9;11;14;36
"16/05/23 06:33:29.690";44;24;11;9;35
"16/05/23 06:33:33.116";42;8;10;9;33
"16/05/23 06:33:35.983";24;21;13;13;34
"16/05/23 06:33:39.909";41;22;9;9;34
"16/05/23 06:33:42.789";40;8;12;26;35
"16/05/23 06:33:46.281";45;7;26;23;35
"16/05/23 06:33:52.543";24;10;26;27;36
"16/05/23 06:33:52.978";21;9;8;26;36
"16/05/23 06:33:57.320";26;11;26;27;36
"16/05/23 06:34:02.093";43;9;27;31;35
"16/05/23 06:34:06.650";20;6;9;23;35
"16/05/23 06:34:08.484";25;24;8;9;33
"16/05/23 06:34:13.152";46;20;15;26;33
"16/05/23 06:34:15.618";23;11;6;28;35
"16/05/23 06:34:21.525";43;10;12;4;33
"16/05/23 06:34:23.647";22;21;23;26;33
"16/05/23 06:34:27.126";20;9;10;22;35
"16/05/23 06:34:31.921";43;11;4;26;32
"16/05/23 06:34:35.075";45;23;5;9;36
"16/05/23 06:34:36.266";42;24;30;7;33
"16/05/23 06:34:41.974";39;22;8;26;33
"16/05/23 06:34:45.684";24;26;9;14;35
"16/05/23 06:34:49.516";44;24;12;26;33
"16/05/23 06:34:50.881";45;5;21;29;34
"16/05/23 06:34:57.519";43;7;10;28;33
"16/05/23 06:35:01.053";42;22;24;8;36
"16/05/23 06:35:01.752";48;19;8;7;33
"16/05/23 06:35:07.168";46;12;8;26;33
"16/05/23 06:35:09.043";25;27;25;25;34
"16/05/23 06:35:15.254";26;11;23;24;35
"16/05/23 06:35:19.151";45;20;8;28;35
"16/05/23 06:35:21.101";24;10;6;26;33
"16/05/23 06:35:24.605";44;19;12;9;33
"16/05/23 06:35:27.066";41;7;11;31;36
"16/05/23 06:35:32.843";22;21;14;7;36
"16/05/23 06:35:33.782";44;20;5;24;35
"16/05/23 06:35:39.950";25;20;8;11;36
"16/05/23 06:35:42.514";23;9;11;11;35
"16/05/23 06:35:46.954";40;12;30;9;33
"16/05/23 06:35:48.450";25;10;8;28;36
"16/05/23 06:35:52.391";25;23;9;15;33
"16/05/23 06:35:57.320";48;9;22;8;36
"16/05/23 06:35:58.966";42;23;12;11;33
"16/05/23 06:36:04.490";42;23;21;8;33
"16/05/23 06:36:07.142";42;11;9;7;36
"16/05/23 06:36:10.759";25;20;8;9;36
"16/05/23 06:36:14.778";25;24;23;30;34
"16/05/23 06:36:17.197";25;21;12;32;35
"16/05/23 06:36:23.994";225;22;26;25;35
"16/05/23 06:36:25.413";213;7;7;26;35
"16/05/23 06:36:29.154";242;84;26;6;36
"16/05/23 06:36:33.381";246;68;204;250;36
"16/05/23 06:36:35.030";218;81;135;207;417
"16/05/23 06:36:41.812";246;81;149;221;449
"16/05/23 06:36:44.915";254;68;138;217;455
"16/05/23 06:36:48.710";262;83;134;229;463
"16/05/23 06:36:52.659";288;67;141;234;474
"16/05/23 06:36:55.558";26;97;158;242;490
"16/05/23 06:36:56.504";22;9;135;241;506
"16/05/23 06:37:01.864";19;10;0;4;528
"16/05/23 06:37:05.903";24;23;27;24;92
"16/05/23 06:37:09.179";26;21;21;30;36
"16/05/23 06:37:13.022";45;8;9;13;34
"16/05/23 06:37:16.850";17;8;10;28;35
"16/05/23 06:37:20.624";42;24;8;8;33
"16/05/23 06:37:22.206";45;5;31;10;33
"16/05/23 06:37:28.213";45;20;22;27;32
"16/05/23 06:37:29.449";45;20;13;25;32
"16/05/23 06:37:35.607";43;12;27;25;36
"16/05/23 06:37:37.928";23;11;20;11;33
"16/05/23 06:37:41.104";21;23;14;11;36
"16/05/23 06:37:46.382";239;26;8;26;36
"16/05/23 06:37:50.077";244;43;9;10;33
"16/05/23 06:37:52.358";226;88;198;31;34
"16/05/23 06:37:55.521";225;66;140;256;177
"16/05/23 06:38:00.930";219;66;146;247;444
"16/05/23 06:38:03.272";247;81;151;219;460
"16/05/23 06:38:07.151";254;69;138;245;464
"16/05/23 06:38:11.128";268;66;155;231;473
"16/05/23 06:38:15.577";34;71;144;255;488
"16/05/23 06:38:17.546";24;104;146;264;503
"16/05/23 06:38:20.648";40;11;2;267;525
"16/05/23 06:38:23.305";26;22;24;4;390
"16/05/23 06:38:28.011";45;21;10;6;52
"16/05/23 06:38:33.523";239;22;21;8;35
"16/05/23 06:38:36.422";251;87;10;9;36
"16/05/23 06:38:38.536";256;70;212;11;34
"16/05/23 06:38:43.619";224;83;136;261;310
"16/05/23 06:38:44.586";245;80;150;234;456
"16/05/23 06:38:50.970";259;67;152;230;471
"16/05/23 06:38:52.703";262;68;139;245;469
"16/05/23 06:38:57.597";268;72;157;252;481
"16/05/23 06:39:02.340";25;86;144;261;498
"16/05/23 06:39:02.670";37;12;144;248;507
"16/05/23 06:39:08.631";47;21;0;273;526
"16/05/23 06:39:12.853";41;6;25;2;216
"16/05/23 06:39:13.669";27;26;13;15;45
"16/05/23 06:39:20.226";239;13;27;9;35
"16/05/23 06:39:21.020";244;26;12;22;36
"16/05/23 06:39:24.765";265;92;158;12;34
"16/05/23 06:39:31.158";256;70;145;266;143
"16/05/23 06:39:31.780";238;70;157;225;454
"16/05/23 06:39:37.760";266;82;156;236;481
