"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"15/05/23 13:02:31.617";22;11;18;25;70
"15/05/23 13:02:32.226";37;21;8;23;36
"15/05/23 13:02:38.138";37;21;10;8;33
"15/05/23 13:02:39.356";23;8;7;9;33
"15/05/23 13:02:44.409";42;22;24;26;37
"15/05/23 13:02:49.680";36;21;24;31;37
"15/05/23 13:02:51.358";278;11;24;26;34
"15/05/23 13:02:55.852";270;95;11;12;38
"15/05/23 13:02:58.365";248;126;197;76;38
"15/05/23 13:03:01.090";257;98;177;268;353
"15/05/23 13:03:07.751";295;114;147;224;465
"15/05/23 13:03:09.914";302;118;146;217;475
"15/05/23 13:03:12.594";289;126;158;243;487
"15/05/23 13:03:17.870";293;111;162;244;504
"15/05/23 13:03:21.055";24;126;167;247;518
"15/05/23 13:03:22.696";19;10;200;261;529
"15/05/23 13:03:28.231";18;19;0;219;541
"15/05/23 13:03:32.927";37;6;25;0;136
"15/05/23 13:03:33.885";38;23;10;22;41
"15/05/23 13:03:37.268";39;13;12;21;34
"15/05/23 13:03:42.385";36;6;21;23;34
"15/05/23 13:03:45.273";39;22;6;2;34
"15/05/23 13:03:50.972";250;9;24;24;37
"15/05/23 13:03:53.887";268;20;11;9;34
"15/05/23 13:03:58.036";255;117;127;13;35
"15/05/23 13:03:59.830";260;101;211;265;104
"15/05/23 13:04:05.331";259;102;168;211;458
"15/05/23 13:04:08.986";290;119;169;217;487
"15/05/23 13:04:10.763";297;119;162;236;489
"15/05/23 13:04:14.852";310;119;180;243;498
"15/05/23 13:04:19.737";77;120;171;247;511
"15/05/23 13:04:20.666";23;137;191;251;528
"15/05/23 13:04:23.771";39;10;101;268;550
"15/05/23 13:04:28.508";34;13;0;3;516
"15/05/23 13:04:31.354";25;9;26;26;62
"15/05/23 13:04:34.390";36;21;21;22;35
"15/05/23 13:04:39.220";40;10;32;9;34
"15/05/23 13:04:44.975";228;20;24;9;37
