"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"16/05/23 04:00:14.659";250;86;149;257;503
"16/05/23 04:00:18.118";276;75;153;269;506
"16/05/23 04:00:22.745";272;77;168;258;508
"16/05/23 04:00:25.153";252;87;171;259;516
"16/05/23 04:00:29.586";25;84;158;259;522
"16/05/23 04:00:30.532";27;9;151;273;527
"16/05/23 04:00:36.312";39;20;0;46;540
"16/05/23 04:00:40.129";41;26;26;0;120
"16/05/23 04:00:44.013";280;13;8;12;38
"16/05/23 04:00:47.442";256;21;11;28;38
"16/05/23 04:00:49.264";277;93;185;22;33
"16/05/23 04:00:53.761";241;74;153;275;164
"16/05/23 04:00:57.194";245;77;151;240;474
"16/05/23 04:01:00.793";245;70;148;249;497
"16/05/23 04:01:06.162";283;69;166;263;492
"16/05/23 04:01:07.665";298;85;176;261;509
"16/05/23 04:01:13.306";43;88;180;255;522
"16/05/23 04:01:14.987";26;102;170;284;543
"16/05/23 04:01:17.590";25;11;25;293;561
"16/05/23 04:01:20.942";24;20;21;3;450
"16/05/23 04:01:24.420";26;21;8;24;56
"16/05/23 04:01:30.385";23;11;24;9;36
"16/05/23 04:01:34.910";256;23;8;23;33
"16/05/23 04:01:36.375";266;13;11;24;36
"16/05/23 04:01:39.599";282;99;100;12;36
"16/05/23 04:01:44.885";250;76;216;276;34
"16/05/23 04:01:45.906";250;75;158;247;488
"16/05/23 04:01:52.975";286;74;158;246;514
"16/05/23 04:01:53.739";273;77;174;264;510
"16/05/23 04:01:59.668";305;88;181;270;528
"16/05/23 04:02:03.674";328;94;171;282;539
"16/05/23 04:02:06.926";23;107;174;288;563
"16/05/23 04:02:09.638";23;12;146;298;579
"16/05/23 04:02:14.166";29;10;0;3;589
"16/05/23 04:02:14.776";38;8;28;29;74
"16/05/23 04:02:20.630";252;20;21;28;36
"16/05/23 04:02:23.902";273;87;20;13;36
"16/05/23 04:02:26.490";245;96;211;263;32
"16/05/23 04:02:30.181";264;73;145;238;443
"16/05/23 04:02:35.612";268;85;162;260;498
"16/05/23 04:02:38.552";279;71;167;244;499
"16/05/23 04:02:42.698";285;72;172;263;505
"16/05/23 04:02:46.899";295;70;177;268;520
"16/05/23 04:02:49.139";26;77;171;257;535
"16/05/23 04:02:51.077";37;11;145;282;544
"16/05/23 04:02:55.094";23;8;0;1;556
"16/05/23 04:03:00.099";294;8;26;25;87
"16/05/23 04:03:04.586";264;89;9;26;36
"16/05/23 04:03:07.664";251;103;210;8;36
"16/05/23 04:03:12.141";240;87;150;273;302
"16/05/23 04:03:14.717";244;73;146;245;483
"16/05/23 04:03:19.149";268;89;161;237;494
"16/05/23 04:03:21.627";255;87;166;237;495
"16/05/23 04:03:24.755";283;74;174;239;508
"16/05/23 04:03:29.941";30;87;177;265;522
"16/05/23 04:03:30.407";24;17;161;252;533
"16/05/23 04:03:35.520";39;19;0;257;549
"16/05/23 04:03:40.968";42;21;32;4;264
"16/05/23 04:03:41.792";23;9;10;24;47
"16/05/23 04:03:47.624";42;21;6;14;34
"16/05/23 04:03:51.277";21;13;6;26;33
"16/05/23 04:03:52.134";38;24;6;13;33
"16/05/23 04:03:58.363";40;23;10;12;36
"16/05/23 04:04:01.280";24;8;21;22;33
"16/05/23 04:04:03.845";27;9;10;13;35
"16/05/23 04:04:09.774";232;23;7;7;36
"16/05/23 04:04:11.006";246;9;20;24;36
"16/05/23 04:04:14.484";264;89;126;27;36
"16/05/23 04:04:17.677";243;76;205;262;71
"16/05/23 04:04:23.286";236;71;158;229;461
"16/05/23 04:04:27.046";262;75;143;234;492
"16/05/23 04:04:30.591";273;86;162;254;488
"16/05/23 04:04:33.231";280;72;168;240;495
"16/05/23 04:04:38.162";307;69;158;266;506
"16/05/23 04:04:42.017";26;101;175;270;522
"16/05/23 04:04:44.824";36;8;137;280;540
"16/05/23 04:04:47.381";23;9;0;3;555
"16/05/23 04:04:50.049";25;25;12;28;72
"16/05/23 04:04:53.829";39;7;8;9;36
"16/05/23 04:04:58.808";44;8;27;12;34
"16/05/23 04:05:00.418";40;24;9;11;33
"16/05/23 04:05:06.785";29;12;22;7;36
"16/05/23 04:05:07.716";27;7;26;27;36
"16/05/23 04:05:13.929";26;10;8;9;36
"16/05/23 04:05:17.247";40;25;10;11;33
"16/05/23 04:05:19.548";21;24;6;25;36
"16/05/23 04:05:23.813";26;23;8;29;33
"16/05/23 04:05:26.376";38;22;9;12;33
"16/05/23 04:05:31.854";24;11;5;9;33
"16/05/23 04:05:36.115";28;9;26;25;33
"16/05/23 04:05:39.800";27;8;27;26;36
"16/05/23 04:05:40.258";27;25;8;29;36
"16/05/23 04:05:44.235";25;27;22;9;36
"16/05/23 04:05:49.142";23;8;7;28;36
"16/05/23 04:05:51.367";19;21;11;9;36
"16/05/23 04:05:54.958";23;27;22;7;35
"16/05/23 04:06:00.866";42;9;12;25;36
"16/05/23 04:06:01.785";39;20;21;30;33
"16/05/23 04:06:07.740";38;12;26;26;32
"16/05/23 04:06:09.888";38;7;8;26;37
"16/05/23 04:06:13.470";38;10;6;29;34
"16/05/23 04:06:19.103";39;20;22;27;35
"16/05/23 04:06:22.088";21;7;6;27;35
"16/05/23 04:06:23.938";28;9;7;10;36
"16/05/23 04:06:27.653";37;9;20;30;34
"16/05/23 04:06:32.310";28;25;14;26;35
"16/05/23 04:06:34.180";25;24;10;11;34
"16/05/23 04:06:38.921";43;10;8;9;36
"16/05/23 04:06:43.567";23;22;7;15;36
"16/05/23 04:06:47.770";36;9;8;27;36
"16/05/23 04:06:50.317";29;9;13;7;35
"16/05/23 04:06:52.744";41;11;6;29;33
"16/05/23 04:06:55.639";28;9;9;29;33
"16/05/23 04:06:59.230";37;23;6;9;33
"16/05/23 04:07:05.108";241;10;22;26;33
"16/05/23 04:07:09.208";266;84;21;27;35
"16/05/23 04:07:12.929";246;94;208;47;34
"16/05/23 04:07:15.454";233;70;174;265;365
"16/05/23 04:07:18.238";235;84;144;233;483
"16/05/23 04:07:20.940";244;75;149;236;489
"16/05/23 04:07:26.668";253;82;165;252;494
"16/05/23 04:07:29.262";271;86;170;263;501
"16/05/23 04:07:34.498";28;70;172;267;516
"16/05/23 04:07:37.633";20;12;150;269;529
"16/05/23 04:07:42.109";221;12;0;279;545
