"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"15/05/23 18:31:33.735";282;110;172;225;501
"15/05/23 18:31:36.977";23;101;177;248;514
"15/05/23 18:31:39.511";37;11;184;263;531
"15/05/23 18:31:43.976";42;20;0;123;547
"15/05/23 18:31:48.202";23;23;28;6;125
"15/05/23 18:31:49.645";41;5;21;11;40
"15/05/23 18:31:54.698";297;11;10;27;34
"15/05/23 18:31:59.164";280;104;20;27;36
"15/05/23 18:32:03.379";276;118;212;9;34
"15/05/23 18:32:04.384";253;113;181;276;349
"15/05/23 18:32:09.538";273;111;152;228;487
"15/05/23 18:32:14.333";307;101;164;239;498
"15/05/23 18:32:17.166";315;106;175;250;510
"15/05/23 18:32:18.468";297;124;161;259;526
"15/05/23 18:32:24.229";27;125;170;266;543
"15/05/23 18:32:25.994";23;11;188;275;563
"15/05/23 18:32:29.939";21;23;0;260;575
"15/05/23 18:32:35.911";20;11;27;3;169
"15/05/23 18:32:39.561";231;24;29;11;41
"15/05/23 18:32:42.959";268;13;10;26;35
"15/05/23 18:32:44.590";245;110;63;9;34
"15/05/23 18:32:49.606";258;115;209;268;36
"15/05/23 18:32:53.999";284;97;141;220;464
"15/05/23 18:32:57.480";291;116;144;227;494
"15/05/23 18:33:00.224";300;115;166;248;498
"15/05/23 18:33:03.921";314;102;163;247;508
"15/05/23 18:33:08.291";324;120;177;259;524
"15/05/23 18:33:10.169";25;135;183;268;544
"15/05/23 18:33:15.078";25;7;169;279;563
"15/05/23 18:33:19.012";254;12;0;3;543
"15/05/23 18:33:22.094";276;95;24;25;73
"15/05/23 18:33:22.953";250;118;201;30;35
"15/05/23 18:33:26.809";266;114;182;272;342
"15/05/23 18:33:33.182";272;112;159;220;480
"15/05/23 18:33:35.612";278;110;160;237;491
"15/05/23 18:33:40.440";290;98;168;242;494
"15/05/23 18:33:41.794";303;99;174;245;507
"15/05/23 18:33:47.281";27;116;168;256;522
"15/05/23 18:33:48.080";16;11;188;260;537
"15/05/23 18:33:52.552";22;22;0;247;551
